communityID,urban_score_trans
0101041,4.9998000000000005
0101042,4.9998000000000005
0101043,6.6664
0102061,0
0102062,0
0102063,0
0102331,0
0102332,4.9998000000000005
0102333,4.9998000000000005
0104461,1.6666
0104462,0
0104463,3.3332
0104511,0
0104512,1.6666
0104513,3.3332
0140311,6.6664
0140312,6.6664
0140313,6.6664
0140511,4.9998000000000005
0140512,3.3332
0140513,4.9998000000000005
0146431,4.9998000000000005
0146432,4.9998000000000005
0146433,1.6666
0182061,0
0182062,1.6666
0182063,0
0304761,4.9998000000000005
0304762,6.6664
0304763,6.6664
0311061,3.3332
0311062,6.6664
0311063,6.6664
0340431,0
0340432,0
0340433,4.9998000000000005
0346761,3.3332
0346762,6.6664
0346763,6.6664
0467461,3.3332
0467462,3.3332
0467463,4.9998000000000005
0516061,1.6666
0516062,0
0516063,0
0540541,6.6664
0540542,6.6664
0540543,4.9998000000000005
0542491,6.6664
0542492,6.6664
0542493,6.6664
0560431,0
0560432,0
0560433,1.6666
0560591,3.3332
0560592,0
0560593,0
0563021,6.6664
0563022,6.6664
0563023,9.999600000000001
0563461,0
0563462,1.6666
0563463,6.6664
0566041,3.3332
0566042,3.3332
0566043,3.3332
0574571,4.9998000000000005
0574572,0
0574573,0
0576331,0
0576332,0
0576333,0
0582021,6.6664
0582022,4.9998000000000005
0582023,3.3332
0586591,3.3332
0586592,9.999600000000001
0586593,6.6664
0604401,3.3332
0604402,3.3332
0604403,6.6664
0604811,3.3332
0604812,3.3332
0604813,1.6666
0640281,6.6664
0640282,6.6664
0640283,6.6664
0640331,3.3332
0640332,6.6664
0640333,6.6664
0646041,6.6664
0646042,4.9998000000000005
0646043,9.999600000000001
0655461,1.6666
0655462,0
0655463,6.6664
0724281,8.333
0724282,6.6664
0724283,6.6664
0740021,3.3332
0740022,3.3332
0740023,3.3332
0740041,4.9998000000000005
0740042,4.9998000000000005
0740043,6.6664
0740571,6.6664
0740572,6.6664
0740573,4.9998000000000005
0746311,4.9998000000000005
0746312,1.6666
0746313,3.3332
0749811,0
0749812,6.6664
0749813,0
0753761,6.6664
0753762,3.3332
0753763,6.6664
0755041,6.6664
0755042,6.6664
0755043,6.6664
0782331,3.3332
0782332,3.3332
0782333,6.6664
0896761,3.3332
0896762,6.6664
0896763,6.6664
0940041,6.6664
0940042,6.6664
0940043,4.9998000000000005
1017911,1.6666
1017912,9.999600000000001
1017913,4.9998000000000005
1040041,6.6664
1040042,8.333
1040043,8.333
1051021,4.9998000000000005
1051022,4.9998000000000005
1051023,4.9998000000000005
