communityID,urban_score_markets
0101041,3.3333333333333335
0101042,4.444444444444445
0101043,3.3333333333333335
0102061,3.3333333333333335
0102062,3.3333333333333335
0102063,3.3333333333333335
0102331,3.3333333333333335
0102332,3.3333333333333335
0102333,3.3333333333333335
0104461,5.555555555555555
0104462,3.3333333333333335
0104463,0
0104511,3.3333333333333335
0104512,3.3333333333333335
0104513,3.3333333333333335
0140311,3.3333333333333335
0140312,2.2222222222222223
0140313,4.444444444444445
0140511,4.444444444444445
0140512,3.3333333333333335
0140513,3.3333333333333335
0146431,0
0146432,2.2222222222222223
0146433,2.2222222222222223
0182061,0
0182062,3.3333333333333335
0182063,2.2222222222222223
0304761,5.555555555555555
0304762,3.3333333333333335
0304763,3.3333333333333335
0311061,3.3333333333333335
0311062,3.3333333333333335
0311063,3.3333333333333335
0340431,0
0340432,5.555555555555555
0340433,5.555555555555555
0346761,3.3333333333333335
0346762,3.3333333333333335
0346763,3.3333333333333335
0467461,3.3333333333333335
0467462,3.3333333333333335
0467463,3.3333333333333335
0516061,2.2222222222222223
0516062,0
0516063,2.2222222222222223
0540541,6.666666666666667
0540542,6.666666666666667
0540543,0
0542491,3.3333333333333335
0542492,3.3333333333333335
0542493,4.444444444444445
0560431,0
0560432,0
0560433,5.555555555555555
0560591,3.3333333333333335
0560592,0
0560593,0
0563021,8.88888888888889
0563022,6.666666666666667
0563023,4.444444444444445
0563461,0
0563462,3.3333333333333335
0563463,8.88888888888889
0566041,3.3333333333333335
0566042,0
0566043,3.3333333333333335
0574571,3.3333333333333335
0574572,3.3333333333333335
0574573,2.2222222222222223
0576331,0
0576332,2.2222222222222223
0576333,0
0582021,6.666666666666667
0582022,2.2222222222222223
0582023,3.3333333333333335
0586591,2.2222222222222223
0586592,6.666666666666667
0586593,3.3333333333333335
0604401,1.1111111111111112
0604402,0
0604403,3.3333333333333335
0604811,6.666666666666667
0604812,6.666666666666667
0604813,3.3333333333333335
0640281,5.555555555555555
0640282,3.3333333333333335
0640283,7.777777777777778
0640331,2.2222222222222223
0640332,0
0640333,3.3333333333333335
0646041,4.444444444444445
0646042,3.3333333333333335
0646043,3.3333333333333335
