communityID,year,province_eng,city_eng,urban_score_comm,urban_score_house,urban_score_econ,urban_score_sani,urban_score,reliability
0101041,2011,Yunnan,Baoshan,3.7058823529411766,4.868421052631579,2.4705882352941173,0.9210526315789473,11.965944272445821,Good
0101042,2011,Yunnan,Baoshan,5.469387755102041,6.484375,6.841836734693878,8.75,27.54559948979592,Excellent
0101043,2011,Yunnan,Baoshan,3.888888888888889,2.6666666666666665,2.824074074074074,3,12.37962962962963,Excellent
0102061,2011,Yunnan,Chuxiong,3.8823529411764706,1.7857142857142858,2.9607843137254903,3.0357142857142856,11.66456582633053,Excellent
0102062,2011,Yunnan,Chuxiong,4.27027027027027,1.5625,3.7364864864864864,2.083333333333333,11.65259009009009,Excellent
0102063,2011,Yunnan,Chuxiong,4.081632653061225,2.0689655172413794,3.95,3.9655172413793105,14.066115411681913,Excellent
0102331,2011,Yunnan,Chuxiong,3.842105263157895,5.869565217391304,3.1842105263157894,5.108695652173914,18.004576659038904,Excellent
0102332,2011,Yunnan,Chuxiong,3.4000000000000004,4.444444444444445,2.666666666666667,3.4722222222222223,13.983333333333334,Good
0102333,2011,Yunnan,Chuxiong,3.9322033898305087,5.390625,2.093220338983051,4.122983870967742,15.539032599781303,Excellent
0104461,2011,Yunnan,Zhaotong,3.9375,6.25,2.90625,3.125,16.21875,Excellent
0104462,2011,Yunnan,Zhaotong,3.849056603773585,6.428571428571429,1.5990566037735847,3.3035714285714284,15.180256064690028,Excellent
0104463,2011,Yunnan,Zhaotong,3.7272727272727275,4.903846153846154,3.7954545454545454,2.5,14.926573426573427,Excellent
0104511,2011,Yunnan,Zhaotong,4.166666666666667,4.523809523809524,4.194444444444445,1.7857142857142858,14.670634920634921,Excellent
0104512,2011,Yunnan,Zhaotong,4.318181818181818,5,1.6136363636363635,2.2,13.131818181818183,Excellent
0104513,2011,Yunnan,Zhaotong,3.657142857142857,5,2.1428571428571432,1.9318181818181817,12.731818181818182,Excellent
0140311,2011,Yunnan,Kunming,6.5,9.880952380952381,8.5,10,34.88095238095238,Excellent
0140312,2011,Yunnan,Kunming,4.256410256410256,6.875,2.41025641025641,6.041666666666666,19.583333333333332,Excellent
0140313,2011,Yunnan,Kunming,7.043478260869565,8.75,7.782608695652174,9.583333333333332,33.15942028985508,Good
0140511,2011,Yunnan,Kunming,4.387096774193548,5.441176470588235,4.3125,3.235294117647059,17.37606736242884,Good
0140512,2011,Yunnan,Kunming,4.195121951219512,5.9,3.3636363636363633,4.85,18.308758314855876,Excellent
0140513,2011,Yunnan,Kunming,3.5714285714285716,6.470588235294117,2.8362068965517238,2.7941176470588234,15.672341350333237,Good
0146431,2011,Yunnan,Lincang,4.8,4.375,2.25,5.833333333333332,17.258333333333333,Excellent
0146432,2011,Yunnan,Lincang,5.1891891891891895,5.568181818181818,4.0675675675675675,6.9318181818181825,21.756756756756758,Excellent
0146433,2011,Yunnan,Lincang,3.666666666666667,4.166666666666666,1.666666666666667,6.333333333333333,15.833333333333332,Good
0182061,2011,Yunnan,Lijiang,3.9285714285714284,1.5625,2.1785714285714284,4.53125,12.200892857142858,Good
